SQUID-URL,StreetID,Centroid_Latitude,Centroid_Longitude,SQUID_Score
http://openstreetcam.org/details/1266801/0,158-164 Mansfield Ave,40.87052161000000000000,-82.64568210000000000000,.01162523772016160837
http://openstreetcam.org/details/1266801/0,150-152 Mansfield Ave,40.87101746000000000000,-82.64672875000000000000,323.41545755720425690963
http://openstreetcam.org/details/1266801/0,144-148 Mansfield Ave,40.87241174000000000000,-82.64824625000000000000,375.98757531077590102014
http://openstreetcam.org/details/1266801/0,22-2 W Morningside Dr,40.87295837000000000000,-82.64886675000000000000,563.61787441636673876738
http://openstreetcam.org/details/1266801/0,98-2 Sherwood Dr,40.87376658000000000000,-82.64978913000000000000,453.01264279626169275211
http://openstreetcam.org/details/1266801/0,121-109 Mansfield Ave,40.87385805000000000000,-82.64990645000000000000,377.32493720371181764680
http://openstreetcam.org/details/1266801/0,129-123 Mansfield Ave,40.87396672000000000000,-82.65003297000000000000,452.77734016181391928826
http://openstreetcam.org/details/1266801/0,98-2 Sherwood Dr,40.87407441000000000000,-82.65017444000000000000,452.76811525817029811333
http://openstreetcam.org/details/1266801/0,121-109 Mansfield Ave,40.87482275000000000000,-82.65115470000000000000,323.17081669947791851650
http://openstreetcam.org/details/1266801/0,95-85 Mansfield Ave,40.87503593000000000000,-82.65142447000000000000,452.57638168352310907951
http://openstreetcam.org/details/1266801/0,98-2 W Gaylord Ave,40.87513159000000000000,-82.65155429000000000000,452.61222482642486406628
http://openstreetcam.org/details/1266801/0,95-85 Mansfield Ave,40.87521600000000000000,-82.65168770000000000000,377.30550649251639626483
http://openstreetcam.org/details/1266801/0,107-97 Mansfield Ave,40.87540449000000000000,-82.65190251000000000000,452.65432049098371961964
http://openstreetcam.org/details/1266801/0,2-98 E Gaylord Ave,40.87557374000000000000,-82.65214663000000000000,452.89230561699886348506
http://openstreetcam.org/details/1266801/0,83-75 Mansfield Ave,40.87576308000000000000,-82.65240443000000000000,377.48775540906716991725
http://openstreetcam.org/details/1266801/0,2-98 E Jefferson Ave,40.87607116000000000000,-82.65277449000000000000,565.95159279842487340057
http://openstreetcam.org/details/1266801/0,95-85 Mansfield Ave,40.87618152000000000000,-82.65290220000000000000,377.16129974955852505380
http://openstreetcam.org/details/1266801/0,2-98 E Jefferson Ave,40.87638151000000000000,-82.65316226000000000000,376.94527286010932329951
http://openstreetcam.org/details/1266801/0,73-65 Mansfield Ave,40.87649269000000000000,-82.65329846000000000000,452.45155512595535212067
http://openstreetcam.org/details/1266801/0,83-75 Mansfield Ave,40.87681635000000000000,-82.65369738000000000000,452.43788749437554258062
http://openstreetcam.org/details/1266801/0,2-98 E Madison Ave,40.87710157000000000000,-82.65409759000000000000,565.52338645714966106944
http://openstreetcam.org/details/1266801/0,59-61 Mansfield Ave,40.87721574000000000000,-82.65421145000000000000,452.27143554003761232512
http://openstreetcam.org/details/1266801/0,73-65 Mansfield Ave,40.87753535000000000000,-82.65456110000000000000,565.06184986946604307434
http://openstreetcam.org/details/1266801/0,1-99 Monroe Ave,40.87824484000000000000,-82.65546272000000000000,452.41505382973448790640
http://openstreetcam.org/details/1266801/0,2-98 Wilson Ave,40.87953036000000000000,-82.65632910000000000000,563.28161385301672172929
http://openstreetcam.org/details/1266801/0,19-1 Mansfield Ave,40.87963247000000000000,-82.65633834000000000000,450.93088215698456640779
http://openstreetcam.org/details/1266801/0,2-98 Wilson Ave,40.87972117000000000000,-82.65633874000000000000,376.00931077559071186211
http://openstreetcam.org/details/1266801/0,31-21 Mansfield Ave,40.88037329000000000000,-82.65634374000000000000,376.01394657586947011741
http://openstreetcam.org/details/1266801/0,2-98 Wilson Ave,40.88046698000000000000,-82.65636160000000000000,451.22115026103530898090
http://openstreetcam.org/details/1266801/0,31-21 Mansfield Ave,40.88052103000000000000,-82.65636518000000000000,451.30507625337714454244
http://openstreetcam.org/details/1266801/0,2-98 Wilson Ave,40.88056671000000000000,-82.65636145000000000000,451.16969994755090159882
http://openstreetcam.org/details/1266801/0,31-21 Mansfield Ave,40.88062244000000000000,-82.65635564000000000000,375.87878981762362262206
http://openstreetcam.org/details/1266801/0,19-1 Mansfield Ave,40.88140989000000000000,-82.65669054000000000000,568.47760991530757428792
http://openstreetcam.org/details/1266801/0,42-52 E Main St,40.88138694000000000000,-82.65805624000000000000,454.76077846811627679419
http://openstreetcam.org/details/1266801/0,13-1 E Main St,40.88138040000000000000,-82.65829392000000000000,568.23250948630859625484
http://openstreetcam.org/details/1266801/0,1-19 N Gamble St,40.88128244000000000000,-82.66162310000000000000,573.62074943141760616811
http://openstreetcam.org/details/1266801/0,21-23 S Gamble St,40.88101274000000000000,-82.66174401000000000000,459.66741521756415003410
http://openstreetcam.org/details/1266801/0,1-7 Central Ave,40.87967265000000000000,-82.66174306000000000000,573.72998941252516040884
http://openstreetcam.org/details/1266801/0,21-23 S Gamble St,40.87947765000000000000,-82.66175102000000000000,460.36290478676618659237
http://openstreetcam.org/details/1266801/0,47-41 S Gamble St,40.87828098000000000000,-82.66198744000000000000,458.99584986159987438397
http://openstreetcam.org/details/1266801/0,69-63 S Gamble St,40.87774343000000000000,-82.66209655000000000000,460.35031814461644113207
http://openstreetcam.org/details/1266801/0,85-73 S Gamble St,40.87664990000000000000,-82.66241935000000000000,383.56109288078048379823
http://openstreetcam.org/details/1266801/0,1-11 W Tucker Ave,40.87643683000000000000,-82.66250779000000000000,383.80452854878303954894
http://openstreetcam.org/details/1266801/0,13-25 W Tucker Ave,40.87615702000000000000,-82.66260430000000000000,460.73176501272574550869
http://openstreetcam.org/details/1266801/0,95-87 S Gamble St,40.87580625000000000000,-82.66271307000000000000,460.56926926365586192459
http://openstreetcam.org/details/1266801/0,85-73 S Gamble St,40.87517408000000000000,-82.66279100000000000000,459.84425976001954702201
http://openstreetcam.org/details/1266801/0,1-49 Earl Ave,40.87500992000000000000,-82.66281881000000000000,460.12913805843502055572
http://openstreetcam.org/details/1266801/0,105-107 S Gamble St,40.87472901000000000000,-82.66287207000000000000,459.75292328594345072687
http://openstreetcam.org/details/1266801/0,95-87 S Gamble St,40.87439387000000000000,-82.66299082000000000000,574.71517628577687149914
http://openstreetcam.org/details/1266801/0,187-189 S Gamble St,40.87035569000000000000,-82.66375033000000000000,461.89896957942358099893
http://openstreetcam.org/details/1266801/0,277-271 S Gamble St,40.86825784000000000000,-82.66392270000000000000,384.56357116248211161405
http://openstreetcam.org/details/1266801/0,2-32 Windemere Dr,40.86814513000000000000,-82.66391170000000000000,461.67152389357416704858
http://openstreetcam.org/details/1266801/0,399-301 S Gamble St,40.86790218000000000000,-82.66389911000000000000,461.83673460620649598157
http://openstreetcam.org/details/1266801/0,198-192 Mickey Rd,40.86773596000000000000,-82.66389457000000000000,384.69536935984642110918
http://openstreetcam.org/details/1266801/0,2-32 Windemere Dr,40.86759692000000000000,-82.66389252000000000000,576.91052756080354362450
http://openstreetcam.org/details/1266801/0,2-98 Baermar Dr,40.86630436000000000000,-82.66397254000000000000,384.46584836717184651480
http://openstreetcam.org/details/1266801/0,1-25 Jayne Ave,40.86616650000000000000,-82.66395899000000000000,576.84034334968207810704
http://openstreetcam.org/details/1266801/0,449-407 S Gamble St,40.86601812000000000000,-82.66395991000000000000,461.58878563382412492728
http://openstreetcam.org/details/1266801/0,1-25 Jayne Ave,40.86574455000000000000,-82.66393657000000000000,384.54507579791664045846
http://openstreetcam.org/details/1266801/0,405-403 S Gamble St,40.86560522000000000000,-82.66396597000000000000,461.30664070360407056774
http://openstreetcam.org/details/1266801/0,449-407 S Gamble St,40.86487882000000000000,-82.66380728000000000000,385.51934545042756294055
http://openstreetcam.org/details/1266801/0,542-566 S Gamble St,40.86229557000000000000,-82.66305385000000000000,458.91023285618720023066
http://openstreetcam.org/details/1266801/0,500-540 S Gamble St,40.86118554000000000000,-82.66302221000000000000,383.75299277081601923329
http://openstreetcam.org/details/1266801/0,1-99 Good St,40.86079853000000000000,-82.66303785000000000000,460.57779836824386592614
http://openstreetcam.org/details/1266801/0,613-615 S Gamble St,40.86040259000000000000,-82.66303916000000000000,383.88613755167492467805
http://openstreetcam.org/details/1266801/0,568-598 S Gamble St,40.85980843000000000000,-82.66302333000000000000,460.69250699419046469614
http://openstreetcam.org/details/1266801/0,1-99 Good St,40.85942530000000000000,-82.66301941000000000000,383.94553562940176385663
http://openstreetcam.org/details/1266801/0,4157-4101 Weidner Rd,40.85844438000000000000,-82.66301758000000000000,383.69926387128037345721
http://openstreetcam.org/details/1266801/0,4039-4041 S Gamble St,40.85806865000000000000,-82.66301989000000000000,462.25929405358484216825
http://openstreetcam.org/details/1266801/0,613-615 S Gamble St,40.85713084000000000000,-82.66300538000000000000,384.19270777058155039832
http://openstreetcam.org/details/1266801/0,- ,40.85535524000000000000,-82.66327958000000000000,385.90464817705748985656
http://openstreetcam.org/details/1266801/0,- ,40.83402113000000000000,-82.65580918000000000000,462.08467342825510425792
http://openstreetcam.org/details/1266801/0,3997-3635 Stein Rd,40.82780887000000000000,-82.65506993000000000000,385.16858041528812057369
http://openstreetcam.org/details/1266801/0,1636-1634 State Rte 314,40.79889216000000000000,-82.65426709000000000000,383.52381981378712893078
http://openstreetcam.org/details/1266801/0,- ,40.79478226000000000000,-82.65388739000000000000,328.93131524530211973379
http://openstreetcam.org/details/1266801/0,3556-3598 W 4th St,40.77904767000000000000,-82.64389717000000000000,605.25452953440656930015
http://openstreetcam.org/details/1266801/0,3400-3546 W 4th St,40.77897827000000000000,-82.64181794000000000000,605.14241309546092236757
http://openstreetcam.org/details/1266801/0,3344-3398 W 4th St,40.77885611000000000000,-82.63954547000000000000,483.86057187538988569498
http://openstreetcam.org/details/1266801/0,3000-3102 W 4th St,40.77707138000000000000,-82.62252999000000000000,401.98084619642593598531
http://openstreetcam.org/details/1266801/0,870-898 Lewis Rd,40.77696779000000000000,-82.62088790000000000000,481.63693082802510323699
http://openstreetcam.org/details/1266801/0,3000-3102 W 4th St,40.77696444000000000000,-82.62060833000000000000,482.82778454445714223606
http://openstreetcam.org/details/1266801/0,2700-2940 Mabee Rd,40.77694887000000000000,-82.62034473000000000000,603.57318507564167141394
http://openstreetcam.org/details/1266801/0,900-998 Lewis Rd,40.77693060000000000000,-82.62008596000000000000,402.35474213541221486189
http://openstreetcam.org/details/1266801/0,null-null null,40.77691493000000000000,-82.61981581000000000000,482.87722397006619356255
http://openstreetcam.org/details/1266801/0,2700-2736 W 4th St,40.77676544000000000000,-82.61766194000000000000,482.34613161414582321552
